id,beast_id,kind,zone,zone_label,concept,quote,story,sensory,ipa,sort_order
ATOM_0011,BEAST_AI_03_I,zoned,Z1,Z1 Head | Token Metric,"a giant glowing green price tag clamps aggressively over its face, mutating its skull into a loudly ringing cash register","Generating new text takes significantly more computing power, so output tokens are almost always 3 to 5 times more expensive than input tokens.","A colossal, skyscraper-sized imp phases through the solid iron front gate, reeking of burning sulfur. A giant glowing green price tag violently clamps over its face, mutating its skull into a mechanical cash register that rings with a deafening crash. As Michael Jackson watches in awe, the imp's front claws violently vomit blistering hot golden coins that melt the concrete, demonstrating the heavy, expensive computing power needed for output generation.",auditory,,1
ATOM_0012,BEAST_AI_03_I,zoned,Z2,Z2 Forelimbs | Output Cost,its claws violently vomit blistering hot golden coins that visibly melt the concrete,"Generating new text takes significantly more computing power, so output tokens are almost always 3 to 5 times more expensive than input tokens.","A colossal, skyscraper-sized imp phases through the solid iron front gate, reeking of burning sulfur. A giant glowing green price tag violently clamps over its face, mutating its skull into a mechanical cash register that rings with a deafening crash. As Michael Jackson watches in awe, the imp's front claws violently vomit blistering hot golden coins that melt the concrete, demonstrating the heavy, expensive computing power needed for output generation.",thermal,,2
ATOM_0013,BEAST_COMMUNICATIO_01_A,single,,,Ethos is the credibility and authority of the speaker.,Ethos: A credibilidade e a autoridade do orador.,"Arachne (a woman with the lower body of a spider) crawls down onto the street. She wears a tiny judge's wig and holds a shiny gold badge. She waves her many arms to show the crowd her badge, proving she is honest and making everyone respect her high authority.",,,1
ATOM_0014,BEAST_COMMUNICATIO_01_B,single,,,Pathos is the emotional appeal used to engage the audience.,Pathos: O apelo emocional utilizado para envolver o público.,"A bright bird of paradise flutters down to perch on Arachne's badge and starts crying with giant, sad eyes. It looks so pathetic and cute that the entire crowd starts weeping with it. The bird actively uses these strong, sad feelings to steal everyone's attention and engage the audience completely.",,,1
ATOM_0015,BEAST_COMMUNICATIO_01_C,single,,,Logos is the logical structure and the evidence supporting the argument.,Logos: A estrutura lógica e as evidências que sustentam o argumento.,"A small cat jumps down onto the pavement, completely ignoring the crying bird. Instead, it carefully builds a strong, perfectly straight wall out of heavy stone blocks. The cat points at the solid bricks to show the strict, logical structure and the hard evidence that supports its point.",,,1
ATOM_0016,BEAST_COMMUNICATIO_02_D,single,,,Define the business agenda for your own area.,Define a agenda de negócios para a própria área.,"A colossal dragon lands heavily on the gate post, and Goku desperately grabs its scaled tail. The beast breathes a massive, glowing business agenda made of bright neon fire into the sky, forcing everyone to clearly see the defined direction.",visual,,1
ATOM_0017,BEAST_COMMUNICATIO_02_E,single,,,Create value according to the general interest of Bosch.,Cria valor para a empresa de acordo com o interesse geral da Bosch.,"An impossibly heavy eagle crashes onto a parked car, crushing its steel roof like paper to hand Goku solid gold bars. The tangible, crushing weight of these delivered results physically alters the vehicle, showing immense value creation.",tactile,,1
ATOM_0018,BEAST_COMMUNICATIO_02_F,single,,,Foster a collaborative and learning organization while driving digital business.,Fomenta uma organização colaborativa e de aprendizagem. Impulsiona um negócio sustentável e digital.,"A skyscraper-sized frog squats at the far end of the street, croaking with a deafening electronic baseline. Goku plugs futuristic digital cables directly into the frog's warty skin, causing the loud croaks to instantly build a collaborative digital city out of soundwaves.",auditory,,1
ATOM_0019,BEAST_COMMUNICATIO_02_G,single,,,Create an environment where people feel comfortable expressing their opinions.,Cria um ambiente onde as pessoas se sentem à vontade para expressar as suas opiniões e participar em debates saudáveis.,"A floating goat balances perfectly on top of a street lamp, emitting a highly concentrated, comforting scent of warm cinnamon. Goku breathes in the trusting aroma and shouts his deepest secrets to the goat, feeling completely safe to express opinions in the sweet-smelling air.",olfactory,,1
ATOM_0020,BEAST_COMMUNICATIO_02_H,single,,,Encourage others to take responsibility and achieve exceptional results.,Incentiva os outros a assumir responsabilidade e alcançar resultados excepcionais. Cria autonomia e estimula a motivação intrínseca.,"A multi-headed Hydra bursts out of a tiny metal mailbox, biting into shockingly sour lemons. Goku forces the heads to chew the sour fruit, making them taste the bitter shock of responsibility before they autonomously spit out exceptional golden trophies onto the pavement.",gustatory,,1
ATOM_0021,BEAST_COMMUNICATIO_03_I,single,,,Enable others to grow and contribute to their maximum potential.,Possibilita que os outros cresçam e contribuam ao máximo com o seu potencial.,"A tiny imp stands on a brick wall, glowing with a blinding, radioactive light that hurts the eyes. Naruto hits the imp with a glowing blue energy sphere, causing the small creature to rapidly mutate into a muscular giant, visually unlocking its absolute maximum potential in a brilliant flash.",visual,,1
ATOM_0022,BEAST_COMMUNICATIO_03_J,single,,,Deal with your own personality in a self-reflective way.,Lida com a sua própria personalidade de forma autorreflexiva.,"A completely flat, two-dimensional jester lies stuck on a wooden bench, wrapped in freezing cold mirror shards. Naruto carefully peels the agonizingly cold, sharp mirrors off the jester's face, forcing the clown to tangibly feel and reflect on his own bizarre personality.",tactile,,1
ATOM_0023,BEAST_COMMUNICATIO_03_K,single,,,Have a clear sense of internal orientation and manage personal resources effectively.,Tem um claro sentido de orientação interna e gere de forma eficaz os seus recursos pessoais.,"A colossal kitten blocks a distant building facade, purring with the ear-splitting, aggressive roar of a chainsaw engine. Naruto manages this chaotic noise by shoving a giant metallic compass into the kitten's ear, instantly tuning the loud roar into a perfectly directed, rhythmic heartbeat.",auditory,,1
ATOM_0024,BEAST_COMMUNICATIO_03_L,single,,,Learn continuously to grow personally and professionally.,Aprende continuamente para crescer a nível pessoal e profissional.,"A transparent lion sits on a high balcony edge, loudly crunching on glowing, metallic books that taste like spicy iron. Naruto feeds the lion endless stacks of these iron manuals, tasting the metallic spark of continuous learning as the beast physically thickens with professional growth.",gustatory,,1
ATOM_0025,BEAST_ENGLISH_01_A,single,,,"Arachne hangs from the stone. She is making a big web. She does not finish it. Instead, she cuts the web right in the middle. She makes two parts to show you the structure is divided. This is the definition: The word ""cleft"" means divided.",,"Arachne hangs from the stone. She is making a big web. She does not finish it. Instead, she cuts the web right in the middle. She makes two parts to show you the structure is divided. This is the definition: The word ""cleft"" means divided.",,,1
ATOM_0026,BEAST_ENGLISH_01_B,single,,,"Next to her, a Bird of Paradise opens its colorful feathers. It wants you to look at a passport on the ground. It hits a fake passport to fix the mistake. It makes a loud noise at a traveler. The bird says: ""Her passport? No. It was my pass",,"Next to her, a Bird of Paradise opens its colorful feathers. It wants you to look at a passport on the ground. It hits a fake passport to fix the mistake. It makes a loud noise at a traveler. The bird says: ""Her passport? No. It was my passport that she dropped."" This shows why we use cleft sentences: For Emphasis and Correction.",,,1
ATOM_0027,BEAST_ENGLISH_01_C,single,,,"Down the street, a Cat sits on a government paper. You try to move the cat, but it stays there. It shows that this is the paper you need. The cat says: ""It's form B6115 that you need."" This shows the It-Cleft Structure: It plus ""to be"" plus",,"A Dragon goes to a party. Mickey and Minnie Mouse are the hosts. The hosts are plural (two people). But the Dragon uses fire to make them use a singular verb. He shouts: ""It is Matt and Jessica who are having the party, not me."" The rule is: Use the singular ""Be,"" even for plural subjects.",,,1
ATOM_0028,BEAST_ENGLISH_01_E,single,,,"High up, an Eagle holds a famous book in its claws. It shouts the name of the author to everyone below. ""I believe it was Shel Silverstein who wrote The Giving Tree."" The Eagle shows you the Relative Pronouns: Who or That.",,Go to the second street.,,,1
ATOM_0029,BEAST_ENGLISH_02_F,single,,,"A Frog watches words fly by. It sees a ""Subject"" and a ""Verb."" Then it sees the word ""that."" The word ""that"" acts as an object. The Frog uses its tongue to catch and eat the word. The rule is: If you have a subject and a verb after your rel",,"A Frog watches words fly by. It sees a ""Subject"" and a ""Verb."" Then it sees the word ""that."" The word ""that"" acts as an object. The Frog uses its tongue to catch and eat the word. The rule is: If you have a subject and a verb after your relative pronoun, you can take it out.",,,1
ATOM_0030,BEAST_ENGLISH_02_G,single,,,"A Goat chews on an empty wallet. It shouts loudly. It says the ""Wh-clause""—the thing ""What we need""—must be money. It cries: ""What we need is more money."" This shows the Wh-Cleft Structure.",,"A Goat chews on an empty wallet. It shouts loudly. It says the ""Wh-clause""—the thing ""What we need""—must be money. It cries: ""What we need is more money."" This shows the Wh-Cleft Structure.",,,1
ATOM_0031,BEAST_ENGLISH_02_H,single,,,"The Hydra holds a heavy car battery in its main head. It moves the battery all the way to its tail. It changes the order, but the meaning is the same. The sentence flips: ""A new battery is what you need."" This shows you can reverse Wh-Cleft",,"The Hydra holds a heavy car battery in its main head. It moves the battery all the way to its tail. It changes the order, but the meaning is the same. The sentence flips: ""A new battery is what you need."" This shows you can reverse Wh-Clefts.",,,1
ATOM_0032,BEAST_ENGLISH_02_I,single,,,"An Imp paints a big word ""IS"" on the wall. A big pile of plural nouns falls on him. Even with the heavy weight, he says the verb must be singular. The rule is: The Wh-clause is singular. Even if your noun is plural, use is or was.",,"Example: ""What they need is more time."" (Not ""are""—use is even though ""they"" is plural.)",,,1
ATOM_0033,BEAST_ENGLISH_02_J,single,,,"The Jester points at the Imp and laughs. He uses the word ""That"" to talk about the whole thing. He says: ""That's what I'm talking about."" This shows you can use ""That"" to talk about what just happened.",,Go to the last street.,,,1
ATOM_0034,BEAST_ENGLISH_03_K,single,,,"A small Kitten sleeps at the bottom of a black stone. It does not want toys or food. It shows that the only thing it wants is rest. It says: ""All I want is more sleep."" This is the ""All"" Cleft. Here, ""All"" means ""the only thing.""",,"A small Kitten sleeps at the bottom of a black stone. It does not want toys or food. It shows that the only thing it wants is rest. It says: ""All I want is more sleep."" This is the ""All"" Cleft. Here, ""All"" means ""the only thing.""",,,1
ATOM_0035,BEAST_ENGLISH_03_L,single,,,"A Lion wears a detective hat. He looks at the ground with a glass. He ignores the police. He tries to do the action himself. ""What he did was try to solve the crime himself."" The Lion shows the action using ""What... do.""",,"A Lion wears a detective hat. He looks at the ground with a glass. He ignores the police. He tries to do the action himself. ""What he did was try to solve the crime himself."" The Lion shows the action using ""What... do.""",,,1
ATOM_0036,BEAST_ENGLISH_04_M,single,,,It holds a red pen and reads a long sentence on a screen. It aggressively crosses out words that are not needed. It explains the definition of this technique.,Ellipsis just means you're deleting words from sentences—unnecessary words or redundant words.,It holds a red pen and reads a long sentence on a screen. It aggressively crosses out words that are not needed. It explains the definition of this technique.,,,1
ATOM_0037,BEAST_ENGLISH_04_N,single,,,"A Neanderthal stands next to the Marmoset holding two mugs. He grunts at a guest. He does not say ""Do you want a tea or do you want a coffee?"" He just holds them up to save words. He knows that too much talking is bad.","The more words you use in a sentence, the more confusing the sentence gets.","A Neanderthal stands next to the Marmoset holding two mugs. He grunts at a guest. He does not say ""Do you want a tea or do you want a coffee?"" He just holds them up to save words. He knows that too much talking is bad.",,,1
ATOM_0038,BEAST_ENGLISH_04_O,single,,,"An Owl plays a guitar on the sidewalk. A second Owl watches him. The second Owl does not pick up a guitar, but simply nods to show he can do it too. He avoids repeating the action.",She can play the guitar and he can too.,"An Owl plays a guitar on the sidewalk. A second Owl watches him. The second Owl does not pick up a guitar, but simply nods to show he can do it too. He avoids repeating the action.",,,1
ATOM_0039,BEAST_ENGLISH_04_P,single,,,A black Panther stalks a sentence written on the ground. It pounces on a repeated phrase and swaps it for a decoy word. It explains that this is a specific technique for replacing words.,"Substitution is exactly what it says it is: you're substituting words, you're replacing words in a phrase or even part of a phrase as well to avoid repeating the same words.",A black Panther stalks a sentence written on the ground. It pounces on a repeated phrase and swaps it for a decoy word. It explains that this is a specific technique for replacing words.,,,1
ATOM_0040,BEAST_ENGLISH_04_Q,single,,,"The feathered serpent Quetzalcoatl wears a mechanic's belt. He coils around a broken sentence engine. He holds a wrench labeled ""Auxiliary"" in his mouth. He adjusts the ""Tense"" gear to make sure it corresponds perfectly.",The auxiliary verb needs to correspond with the types of verbs that you're using... it also needs to correspond in tense as well.,"The feathered serpent Quetzalcoatl wears a mechanic's belt. He coils around a broken sentence engine. He holds a wrench labeled ""Auxiliary"" in his mouth. He adjusts the ""Tense"" gear to make sure it corresponds perfectly.",,,1
ATOM_0041,BEAST_ENGLISH_05_R,single,,,"A Rat looks at a calendar on the wall. Someone says ""He will come today."" The Rat shakes its head and gnaws on the sentence. It removes the prediction and leaves only the word ""it"" behind.","He might come today, but I doubt it.","A Rat looks at a calendar on the wall. Someone says ""He will come today."" The Rat shakes its head and gnaws on the sentence. It removes the prediction and leaves only the word ""it"" behind.",,,1
ATOM_0042,BEAST_ENGLISH_05_S,single,,,"A floating Skull hovers at the end of the street. It stares at a paragraph full of dead weight. It disintegrates the extra words, leaving only the bare bones of the sentence to make it sleek.",It just makes your writing much more concise and it makes it flow better as well.,"A floating Skull hovers at the end of the street. It stares at a paragraph full of dead weight. It disintegrates the extra words, leaving only the bare bones of the sentence to make it sleek.",,,1
ATOM_0043,BEAST_ENGLISH_06_T,single,,,A colorful Toucan sits on a bench. It is sweating profusely in the sun. It decides to remove its heavy feathers like a coat. It explains the result of the heat.,"It was hot, so I took off my jacket.",A colorful Toucan sits on a bench. It is sweating profusely in the sun. It decides to remove its heavy feathers like a coat. It explains the result of the heat.,,,1
ATOM_0044,BEAST_ENGLISH_06_U,single,,,"A Unicorn wearing a suit acts as an examiner. It hands a failed exam paper to a student. It explains formally that because of this result, there is no job offer.","I regret to inform you that you have failed your C1 English exam; therefore, we are unable to offer you the job.","A Unicorn wearing a suit acts as an examiner. It hands a failed exam paper to a student. It explains formally that because of this result, there is no job offer.",,,1
ATOM_0045,BEAST_ENGLISH_06_V,single,,,"A Vulture perches on a desk like a boss. It places the word ""therefore"" right before the main verb ""decided."" It makes a final decision about a candidate.",We have therefore decided not to offer you the job.,"A Vulture perches on a desk like a boss. It places the word ""therefore"" right before the main verb ""decided."" It makes a final decision about a candidate.",,,1
ATOM_0046,BEAST_ENGLISH_06_W,single,,,"A Wombat writes a letter with a quill. It gets no response, so it puts the pen down. It uses ""As"" at the start of her sentence to give the reason.","As she never replies, I'd stop writing to her.","A Wombat writes a letter with a quill. It gets no response, so it puts the pen down. It uses ""As"" at the start of her sentence to give the reason.",,,1
ATOM_0047,BEAST_ENGLISH_07_X,single,,,A participle clause is a subordinate clause used to give extra information.,"A participle clause is a type of subordinate or dependent adverbial clause. It uses a participle to give extra information about time, reason, result, manner, or condition.",,,,1
ATOM_0048,BEAST_ENGLISH_07_Y,single,,,The subject of the participle clause and the main clause must be the same.,The subject of the participle clause and the main clause must be the same.,,,,1
ATOM_0049,BEAST_ENGLISH_07_Z,single,,,Present Active (Simultaneous Actions) - Two things happening at the same time.,"Leaving in a hurry, John forgot to collect his coat.",,,,1
ATOM_0050,BEAST_ENGLISH_07_AA,single,,,Present Active (Reason) - Stating a reason before the result.,"Hoping to improve my French, I joined a class.",,,,1
ATOM_0051,BEAST_ENGLISH_07_AB,single,,,"Present Active (Negative Form) - Place ""not"" before the participle.","Not wanting to wake him, I left quietly.",,,,1
ATOM_0052,BEAST_ENGLISH_08_AC,single,,,"Present Active (Consequence) - Action first, then the result.",He slammed the door waking the baby.,,,,1
ATOM_0053,BEAST_ENGLISH_08_AD,single,,,Present Active (Ambiguity) - Flip the sentence if the subject is unclear.,"Singing loudly, I met a girl.",,,,1
ATOM_0054,BEAST_ENGLISH_08_AE,single,,,Perfect Active (Sequence) - Action fully completed before the main clause.,"Having thanked the hosts, the guests left the party.",,,,1
ATOM_0055,BEAST_ENGLISH_08_AF,single,,,Past Participle (Subject Info) - Adding information about the subject.,"Surrounded by water, Venice is built on over a 100 islands.",,,,1
ATOM_0056,BEAST_ENGLISH_08_AG,single,,,Past Participle (Condition) - Reduced conditional stating a fact.,"Used correctly, participle clauses make your writing more concise.",,,,1
ATOM_0057,BEAST_ENGLISH_09_AH,single,,,Perfect Passive (Sequence/Reason) - Passive action completed before main clause.,"Having been fined for speeding before, she is now a careful driver.",,,,1
ATOM_0058,BEAST_ENGLISH_09_AI,single,,,The Dangling Participle - Subject mismatch.,"Reading the newspaper, the cat jumped onto the table.",,,,1
ATOM_0059,BEAST_ENGLISH_10_AJ,single,,,Definition of Nominalization (turning words into nouns).,Nominalization means turning words into nouns.,,,,1
ATOM_0060,BEAST_ENGLISH_10_AK,single,,,Transforming Verbs into Nouns (Enjoy -> Enjoyment).,Jane shares the enjoyment of Indian food with her husband.,,,,1
ATOM_0061,BEAST_ENGLISH_10_AL,single,,,Transforming Adjectives into Nouns (Beautiful -> Beauty).,The beauty of London is why I am going there.,,,,1
ATOM_0062,BEAST_ENGLISH_10_AM,single,,,"The ""Noun of Noun"" Structure (Develop -> Development).",The engineers are discussing the development of the building.,,,,1
ATOM_0063,BEAST_ENGLISH_10_AN,single,,,Advanced Nominalization with Relational Verbs (Leads to).,The writing of books for pleasure leads to the provision of a passive income.,,,,1
ATOM_0064,BEAST_ENGLISH_11_AO,single,,,Core definitions: Prefix (before) and Suffix (after).,"A prefix is something that goes before a word."" and ""Suffixes are things that go afterwards.",,,,1
ATOM_0065,BEAST_ENGLISH_11_AP,single,,,Suffix -able indicates ability.,"Any verb plus able, it's possible to do this thing.",,,,1
ATOM_0066,BEAST_ENGLISH_11_AQ,single,,,Suffix -ish softens time or adjectives.,Ish with a time means not exactly this time.,,,,1
ATOM_0067,BEAST_ENGLISH_11_AR,single,,,Prefix un- means not complete or absent.,"Un means not, but more like not complete.",,,,1
ATOM_0068,BEAST_ENGLISH_11_AS,single,,,Prefix un- can also mean to reverse an action.,Un can also mean to reverse an action.,,,,1
ATOM_0069,BEAST_ENGLISH_12_AT,single,,,Prefix dis- indicates the opposite or active negation.,"Dis talks about the negation, the opposite of something.",,,,1
ATOM_0070,BEAST_ENGLISH_12_AU,single,,,Prefix mis- refers to a mistake.,"Miss, think of it like a mistake.",,,,1
ATOM_0071,BEAST_ENGLISH_12_AV,single,,,"Prefixes im-, in-, ir- spelling rules.","Use im with words that begin with P, M, or B.",,,,1
ATOM_0072,BEAST_ENGLISH_12_AW,single,,,Insecure (feeling) vs. Unsecure (safety).,Insecure says that you are not confident about yourself.,,,,1
ATOM_0073,BEAST_ENGLISH_12_AX,single,,,Prefix re- means to repeat.,"When you want to say repeat something, do it again, add re before the verb.",,,,1
ATOM_0074,BEAST_ENGLISH_13_AY,single,,,Spoken language is built from segments: consonants (bricks) and vowels (mortar).,You can look at language as a building and think of consonants as the bricks and the vowels as a mortar that connects the bricks together.,,,,1
ATOM_0075,BEAST_ENGLISH_13_AZ,single,,,"Suprasegmentals are features ""beyond the segment"" that emerge only through comparison.","Suprasegmental is a word made of supra, the prefix beyond, and segment: beyond the segment level. You will get to super segmental features when you compare segments to each other, you put them in a contrast.",,,,1
ATOM_0076,BEAST_ENGLISH_13_BA,single,,,Length is the relative duration of a sound.,"In English, stress can affect length.",,,,1
ATOM_0077,BEAST_ENGLISH_13_BB,single,,,"Stress can alter a word's meaning, pitch, and sound properties.",Stress in English can also result in exaggerated pitch; it can make a low pitch lower and it can make a high pitch higher.,,,,1
ATOM_0078,BEAST_ENGLISH_13_BE,single,,,"Intonation is the pitch pattern at the sentence level, which can change meaning.",Pitch pattern at sentence level is called intonation. Voice pitch can change with the rate of vibration of the vocal folds independently of stress.,,,,1
ATOM_0079,BEAST_ENGLISH_14_BF,single,,,"Linguistically, only the relative values of pitch matter, not the absolute values.","It is their relative values, not their absolute values, that matter linguistically.",,,,1
ATOM_0080,BEAST_ENGLISH_14_BG,single,,,The IPA chart has a dedicated section for suprasegmental symbols.,The instructor points out that the International Phonetic Alphabet (IPA) chart provides a completely separate set of symbols specifically for suprasegmentals.,,,,1
ATOM_0081,BEAST_ENGLISH_15_BH,single,,,Thought groups involve using short pauses to break down sentences.,,,,,1
ATOM_0082,BEAST_ENGLISH_15_BI,single,,,English is a stress-timed language with regular intervals.,,,,,1
ATOM_0083,BEAST_ENGLISH_15_BJ,single,,,Linking occurs when the end of one word blends directly into the start of the next word.,,,,,1
ATOM_0084,BEAST_ENGLISH_15_BK,single,,,Shadowing is actively repeating a text simultaneously to absorb natural rhythm.,,,,,1
ATOM_0085,BEAST_ENGLISH_16_BL,single,,,"Connected speech involves changing, losing, or adding sounds.","What happens in connected speech is that sounds change, sounds are lost, and sounds are added.",,,,1
ATOM_0086,BEAST_ENGLISH_16_BM,single,,,Assimilation is when a sound changes to be more like its neighbor.,"A sound changes to become more similar, so more similar, assimilation.",,,,1
ATOM_0087,BEAST_ENGLISH_16_BN,single,,,Preparing for /b/ by closing lips early changes /n/ to /m/.,"Because we get ready to say 'Barcelona' we close our lips already, and instead of an 'n' sound we say 'm'.",,,,1
ATOM_0088,BEAST_ENGLISH_16_BO,single,,,Elision is the deletion or loss of sounds.,"When sounds are lost they're deleted, so we call this elision.",,,,1
ATOM_0089,BEAST_ENGLISH_16_BP,single,,,Final 't' or 'd' sounds are the most commonly lost in English.,"Most of the time in English, that means that a final 't' or 'd' sound is lost.",,,,1
ATOM_0090,BEAST_ENGLISH_17_BQ,single,,,Intrusion is the addition of a new sound.,"Sounds are added, there's intrusion from a new sound.",,,,1
ATOM_0091,BEAST_ENGLISH_17_BR,single,,,"Only 'w', 'y', or 'r' sounds are usually added in intrusion.","There are usually only three sounds that can be added. We either have a 'w', a 'y', or an 'r' sound added.",,,,1
ATOM_0092,BEAST_ENGLISH_18_BS,single,,,Syllabic L [l̩] takes over the entire syllable when the vowel is reduced.,"The consonant essentially takes over the role of the vowel, like in bottle or apple.",,,,1
ATOM_0093,BEAST_ENGLISH_18_BT,single,,,"Syllabic N [n̩] frequently occurs after alveolar consonants like /t/ or /s/, often utilizing a glottal stop.","In American English, when a /t/ precedes a syllabic /n/, the /t/ is typically pronounced as a glottal stop, like in button.",,,,1
ATOM_0094,BEAST_ENGLISH_18_BU,single,,,"Syllabic M [m̩] acts as its own syllable, often found in words ending in ""thm"" or ""sm"".","Syllabic M regularly occurs in words ending in 'thm' or 'sm', such as rhythm and chasm.",,,,1
ATOM_0095,BEAST_GERMAN_01_A,single,,,German l is lighter than English l.,,,,,1
ATOM_0096,BEAST_GERMAN_01_B,single,,,[ŋ] uses the back of the tongue and should not end with a hard g.,,,,Singen [ˈzɪŋən],1
ATOM_0097,BEAST_GERMAN_01_C,single,,,[ʃ] in German pulls the tongue farther back for a sharper sch feel.,,,,,1
ATOM_0098,BEAST_GERMAN_01_D,single,,,German uses glottal stops often before vowel-starting words.,,,,,1
ATOM_0099,BEAST_GERMAN_01_E,single,,,Clusters join two consonants into one fast combined move.,,,,,1
ATOM_0100,BEAST_GERMAN_02_F,single,,,German [r] is made deep in the throat with the back of the tongue.,,,,,1
ATOM_0101,BEAST_GERMAN_02_G,single,,,"The ach-laut [x] is a tight back-of-mouth air sound, like controlled choking air.",,,,,1
