id,study_id,palace_number,title,character_name,image_rel_path,depth_slots_used,image_prompt,palace_notes
PALACE_SCIENCE_07,STUDY_SCIENCE,7,"Paradigms, Crisis, and Shifts",(unassigned palace 7),practice/images/science/7.png,5,,
PALACE_SCIENCE_08,STUDY_SCIENCE,8,The Hypothesis Courtroom,(unassigned palace 8),practice/images/science/8.png,2,,
PALACE_SCIENCE_09,STUDY_SCIENCE,9,The Bayesian Courtroom,(unassigned palace 9),practice/images/science/9.png,5,,
PALACE_SCIENCE_10,STUDY_SCIENCE,10,The Coin Flip Casino,Isaac Newton,practice/images/science/10.png,5,,
PALACE_SCIENCE_11,STUDY_SCIENCE,11,The Structure Web,(unassigned palace 11),practice/images/science/11.png,4,,
PALACE_SCIENCE_12,STUDY_SCIENCE,12,Foundations and Constant Comparison,(unassigned palace 12),practice/images/science/12.png,4,,
PALACE_SCIENCE_13,STUDY_SCIENCE,13,The Evolution of Grounded Theory,Socrates,practice/images/science/13.png,5,,
PALACE_SCIENCE_14,STUDY_SCIENCE,14,Foundations of Reasoning,(unassigned palace 14),practice/images/science/14.png,4,,
PALACE_SCIENCE_15,STUDY_SCIENCE,15,From Social Theory to Bosch UX Practice,Ada Lovelace,practice/images/science/15.png,5,,
PALACE_SCIENCE_16,STUDY_SCIENCE,16,From Raw Data to Theory,Charles Darwin,practice/images/science/16.png,3,,
PALACE_SCIENCE_17,STUDY_SCIENCE,17,Participatory Action Research Mechanics,Darth Vader,practice/images/science/17.png,3,,
PALACE_SCIENCE_18,STUDY_SCIENCE,18,Definition and Characteristics,Belo,practice/images/science/18.png,4,,
PALACE_SCIENCE_19,STUDY_SCIENCE,19,How and Why Questions,Nikola Tesla,practice/images/science/19.png,4,,
PALACE_SKILLS_01,STUDY_SKILLS,1,Core Speed Reading Principles,(unassigned palace 1),practice/images/skills/1.png,5,,
PALACE_SKILLS_02,STUDY_SKILLS,2,Enhancing Brain Focus and Retention,(unassigned palace 2),practice/images/skills/2.png,2,,
PALACE_SKILLS_03,STUDY_SKILLS,3,Vital Signs,(unassigned palace 3),practice/images/skills/3.jpg,2,,
PALACE_SKILLS_04,STUDY_SKILLS,4,Rotina de Ativação Matinal,(unassigned palace 4),practice/images/skills/4.png,4,,
PALACE_SKILLS_05,STUDY_SKILLS,5,Cognitive Shuffling Fundamentals,(unassigned palace 5),practice/images/skills/5.png,2,,
PALACE_TAOISM_01,STUDY_TAOISM,1,Core Philosophy,(unassigned palace 1),practice/images/taoism/1.jpg,5,,
PALACE_TAOISM_02,STUDY_TAOISM,2,Foundational Texts & Figures,(unassigned palace 2),practice/images/taoism/2.jpg,5,,
PALACE_TAOISM_03,STUDY_TAOISM,3,Cosmology & The Body,The Jade Emperor,practice/images/taoism/3.jpg,5,,
PALACE_TAOISM_04,STUDY_TAOISM,4,Religious Development & Pantheon,(unassigned palace 4),practice/images/taoism/4.jpg,5,,
PALACE_GERMAN_09,STUDY_GERMAN,9,Simple and Complex Sound Foundations,(unassigned palace 9),practice/images/german/9.png,4,,
PALACE_GERMAN_10,STUDY_GERMAN,10,Formants and Resonance,(unassigned palace 10),practice/images/german/10.png,5,,
PALACE_GERMAN_11,STUDY_GERMAN,11,The German Alphabet,(unassigned palace 11),practice/images/german/11.png,1,,
PALACE_PIANO_11,STUDY_PIANO,11,Clefs and Note Placement,Claude Monet,practice/images/piano/11.png,5,"Depth slot ForegroundLeft (left wall): an enormous alligator balancing vertically on its tail on a giant piano key while holding a massive, ornate mirror in its jaws. Depth slot MidgroundRight (bench): a heavy, glowing amulet floating in mid-air and shooting a thick downward laser beam to scorch a straight line into the pavement. Depth slot BackgroundCenter (street end): a skyscraper-sized angel with bare feet hopping between painted street lines and the smooth concrete spaces between them. Depth slot Aerial (roof): a wild aoudad ramming its curved horns into a floating staff and dipping its head into a deep puddle. Depth slot ForegroundRight (lamp post): a silver-backed ape furiously crushing small lowercase letter blocks into powder while stacking massive uppercase block letters into a monument, with Claude Monet standing nearby.",
PALACE_COMMUNICATIO_04,STUDY_COMMUNICATIO,4,The Elite Lexicon,Ada Lovelace,practice/images/communication/4.png,5,"ForegroundLeft: an iron gate with a microscopic rat erasing a glowing bull painting. MidgroundRight: a lamp post where a colossal floating bone skull vomits rusted iron words. BackgroundCenter: a building facade where a giant toucan regurgitates a ticking clock and fish. Aerial: a roof with an ethereal unicorn exhaling a glowing box. ForegroundRight: a parked car with a featherless vulture eating raw broccoli. An original fictional Victorian mathematician-like woman (dark braided hair updo, 19th-century sweeping gown, holding a brass mechanical gear) - not any real, living, historical, or named public figure and not any copyrighted character, interacting with the scene.",Test
PALACE_COMMUNICATIO_05,STUDY_COMMUNICATIO,5,Memory Palace 5: How to Speak Pt 1,Sherlock Holmes,practice/images/communication/5.png,5,"an original fictional Victorian detective who resembles a tall, lean man with a deerstalker hat and Inverness cape, holding a curved pipe - not any real, living, historical, or named public figure and not any copyrighted character, standing on the street observing bizarre phenomena. Depth slot: ForegroundLeft iron gate features a skyscraper-sized wombat carving into a steel beam. Depth slot: MidgroundRight parked car features a woman in leather warrior armor shouting visible armor-creating soundwaves. Depth slot: BackgroundCenter road features a glowing yak surrounded by a triple-layered neon fence. Depth slot: Aerial roof features an ancient Greek mythological man throwing electric thunderbolts that smoke with ozone. Depth slot: ForegroundRight lamp post features a colossal aardvark vomiting tiny alphabet letters.",
PALACE_COMMUNICATIO_06,STUDY_COMMUNICATIO,6,Memory Palace 6: How to Speak Pt 2,Doc Brown (Back to the Future),practice/images/communication/6.png,2,"an original fictional eccentric scientist who resembles an older man with wild white hair, a white lab coat, wearing silver goggles and holding a glowing remote control - not any real, living, historical, or named public figure and not any copyrighted character, reacting to surreal events on the street. Depth slot: ForegroundLeft brick wall features a glowing Abyssinian cat weaving luxurious silk suits. Depth slot: MidgroundRight alleyway features a bone-like skeletal acorn exhaling a toxic green cloud.",
PALACE_DATAANALYST_01,STUDY_DATAANALYST,1,Data Analyst vs Data Scientist Foundations,Ada Lovelace,practice/images/data-analyst/1.jpg,4,"A realistic street view featuring an original fictional 19th-century female mathematician-like scholar (young adult, Victorian tailored dark lace dress, hair in ornate side buns, holding brass computing punch cards and a quill) — not any real, living, historical, or named public figure and not any copyrighted character. Depth slot ForegroundLeft (wrought-iron gate): a giant silk spider (Arachne) spinning glowing clockwork webs from its head (Z1) while its front legs mechanically clamp a screeching megaphone projecting x-ray beams (Z2). Depth slot MidgroundRight (parked van): a colorful exotic bird (bird of paradise) scratching glowing KPI dashboard dials into the vehicle door. Depth slot BackgroundCenter (storefront pillar): a frosty cat breathing rigid frozen spreadsheets. Depth slot Aerial (rooftop balcony): a dragon ripping a massive invoice emitting pungent fumes.",
PALACE_DATAANALYST_02,STUDY_DATAANALYST,2,Data Analytics Fundamentals,Alan Turing,practice/images/data-analyst/2.jpg,5,"A realistic street view featuring an original fictional 1940s mathematician-like man (mid-30s, neat parted brown hair, tweed suit with knitted vest, holding a brass cipher rotor — not any real, living, historical, or named public figure and not any copyrighted character) standing centered. In ForegroundLeft on the gatepost, a giant eagle grips a neon puzzle sign. In MidgroundRight by a parked delivery truck, a neon-striped frog croaks coin streams. In BackgroundCenter against the brick facade, a goat with sandpaper horns butts a large blueprint. In Aerial on the roof tiles, a multi-headed Hydra spews shimmering steam over tiered conveyor belts. In ForegroundRight by the curb, a small horned imp digs into cracked pavement with a pitchfork.",
PALACE_AI_05,STUDY_AI,5,AI System Architecture,Neo (The Matrix),practice/images/AI/5.png,3,"an original fictional hacker-like man (pale, dark sunglasses, long black trench coat, dodging in slow motion) — not any real, living, historical, or named public figure and not any copyrighted character, standing on the street. Depth slot: near camera, left third, bolted to a lamppost, a microscopic marmoset drops glowing text blocks. Depth slot: mid depth, right third, behind a parked car, a colossal Neanderthal whispers into a megaphone. Depth slot: far depth, center line on a brick facade, an owl with a wild electrical mane, freezing iron harness on its wings, and a wooden cart bolted to its spine.",
PALACE_DATAANALYST_03,STUDY_DATAANALYST,3,Data Architectures 1,GitHub Copilot,practice/images/data-analyst/3.png,5,An original fictional holographic robotic assistant with a glowing blue visor (not any copyrighted character) orchestrating a surreal street scene. Depth slot ForegroundLeft (iron gate): a jester juggling screaming hard drives. Depth slot MidgroundRight (parked van): a giant kitten ripping data cables. Depth slot BackgroundCenter (stone fountain): a lion scrubbing muddy tables. Depth slot Aerial (rooftop): a marmoset hammering glowing data blocks. Depth slot ForegroundRight (brick pillar): a Neanderthal burying databases under a leather umbrella.,
PALACE_DATAANALYST_04,STUDY_DATAANALYST,4,Data Architectures 2,Neo (The Matrix),practice/images/data-analyst/4.png,5,An original fictional cyber-hacker in a long black trenchcoat and dark sunglasses dodging glowing green bullets (not any copyrighted character) surveying a strange alley. Depth slot ForegroundLeft (bus stop): a colossal owl drinking metallic water. Depth slot MidgroundRight (dumpster): a panther building a glowing SQL pyramid. Depth slot BackgroundCenter (alley dead-end): a massive Quetzalcoatl fusing water and brick. Depth slot Aerial (lamppost): a rat drowning in a muddy swamp. Depth slot ForegroundRight (fire hydrant): a giant floating skull spitting out gold coins.,
PALACE_SCIENCE_20,STUDY_SCIENCE,20,Visual Analysis Definition,SpongeBob SquarePants,practice/images/science/20.jpg,1,"Depth slot: ForegroundLeft on a concrete street wall. An original fictional cheerful yellow sea sponge-like character (square-shaped, wearing a white shirt, red tie, and brown shorts) — not any copyrighted character — stands frozen in shock as glowing geometric triangles rain down around him.",
PALACE_DATAANALYST_05,STUDY_DATAANALYST,5,M Engine & Syntax,Stephen Hawking,practice/images/data-analyst/5.jpg,5,"a typical suburban street scene. ForegroundLeft (front gate): a giant toucan dropping a car engine into a massive blender. MidgroundRight (parked car): a unicorn using a vacuum attached to its horn on glowing name tags. BackgroundCenter (street end): a giant vulture folding an origami swan and driving a bulldozer. Aerial (lamp post): a skyscraper-sized wombat looking through binoculars at a picnic table. ForegroundRight (driveway): a fierce warrior woman trapped in a sticky spider web screaming into a megaphone. Street anchor: an original fictional 20th-century theoretical physicist-like man (wheelchair user, glasses, tailored suit, resting near the gate) - not any real or named historical person.",
PALACE_DATAANALYST_06,STUDY_DATAANALYST,6,Power Query Transformations & Step Reuse,Tim Berners-Lee,practice/images/data-analyst/6.jpg,5,"In the foreground of the street scene, an original fictional computer scientist (older gentleman in his 60s, thinning grey hair, wire-frame spectacles, casual blazer over an open-collar shirt, holding an antique ethernet cable) stands beside the beasts — not any real, living, historical, or named public figure and not any copyrighted character. Depth slot ForegroundLeft: an enormous yak anchored to a heavy wrought iron gate rips vertical stone pillars out of the ground. Depth slot MidgroundRight: a giant robed thunder god anchored to a stone shop facade hurls blinding neon lightning bolts into an open ledger. Depth slot BackgroundCenter: an oversized aardvark anchored to the central roadway curb suctions empty holes from a wooden table. Depth slot Aerial: an Abyssinian cat anchored to an ornate street lamp post wears a twin-stamping iron helmet on its head while its front paws sprout white-hot glowing claws slicing through parchment. Depth slot ForegroundRight: a colossal iron acorn anchored to a parked delivery van splits open to reveal rigid grid drawers locked by steel chains. Realistic photographic lighting, physically grounded contact shadows, natural street perspective.",
PALACE_DATAANALYST_07,STUDY_DATAANALYST,7,M Code Pipeline & Database Architectures,Marie Curie,practice/images/data-analyst/7.jpg,1,"In the foreground of the street scene, an original fictional early 20th-century female laboratory researcher (slender woman in her 40s, dark hair swept into an austere low bun, high-necked black Edwardian laboratory gown, holding a faintly luminous vial with tongs) observes the scene — not any real, living, historical, or named public figure and not any copyrighted character. Depth slot ForegroundLeft: a colossal scaly adder anchored to a concrete bus stop bench slithers along the ground while shedding expanding clouds of glowing origami paper sheets and tag skins. Realistic photographic lighting, natural depth of field, physically grounded contact shadows.",
PALACE_DATAANALYST_08,STUDY_DATAANALYST,8,Schema & Visualization Definitions,Johann Sebastian Bach,,5,"A realistic street-view foreground composite featuring an original fictional baroque composer who resembles a middle-aged man with a powdered wig, dark coat, and holding sheet music — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized aerialist enacting the mnemonic beat — A skyscraper-tall aerialist hangs upside down from a glowing blueprint sheet and stitches neon table outlines, field dots, and constraint ch... Depth slot MidgroundRight (parked van): a bizarre oversized Afghan hound enacting the mnemonic beat — A microscopic Afghan hound taps a floating computer screen that balloons into a giant interactive picture; the picture blasts a visible brai... Depth slot BackgroundCenter (storefront facade): a bizarre oversized Agaric fungi enacting the mnemonic beat — A colossal Agaric fungi sprouts as spinning 3D molecule models that move when touched; each spin pumps glowing cognition steam into the side... Depth slot Aerial (rooftop ledge): a bizarre oversized Ah!—a sigh enacting the mnemonic beat — A sigh-shaped Ah!—a sigh sucks formless number-clouds through a straw and paints them as clickable neon glyphs that ring like glass when cog... Depth slot ForegroundRight (street lamp post): a bizarre oversized Airedale terrier enacting the mnemonic beat — A bus-sized Airedale terrier wrings a sponge brain that squirts liquid knowledge into a toolbox; the knowledge freezes mid-air as usable too...",
PALACE_DATAANALYST_09,STUDY_DATAANALYST,9,Visual Structure Building Blocks,Ludwig van Beethoven,,5,"A realistic street-view foreground composite featuring an original fictional stormy composer who resembles a wild-haired middle-aged man in a dark coat gripping crumpled score pages — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized Ajax enacting the mnemonic beat — A gigantic Ajax dumps a toolbox of glowing points, lines, and areas onto the street; the pile snaps into a living mirror that shows the whol... Depth slot MidgroundRight (parked van): a bizarre oversized Akita (dog breed) enacting the mnemonic beat — A giant Akita (dog breed) unrolls a rubber stage that stretches like chewing gum across the road; the dataset only appears where the stage s... Depth slot BackgroundCenter (storefront facade): a bizarre oversized alligator enacting the mnemonic beat — A huge alligator coughs up toy marks—points, lines, icons—that bounce inside a transparent chart-box like pinballs, clacking when they hit t... Depth slot Aerial (rooftop ledge): a bizarre oversized amulet enacting the mnemonic beat — A floating amulet flips a street like a coin: one side sprouts ticking ruler-axes, the other side has no axes at all—only rubber edge length... Depth slot ForegroundRight (street lamp post): a bizarre oversized angel enacting the mnemonic beat — A towering angel hammers two glowing ruler-beams into a perfect cross; the cross opens like a door into a flat glowing floor where numbers w...",
PALACE_DATAANALYST_10,STUDY_DATAANALYST,10,Space Encoding Techniques,Wolfgang Amadeus Mozart,,5,"A realistic street-view foreground composite featuring an original fictional playful composer who resembles a young man in a bright period coat with a powdered wig — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized aoudad enacting the mnemonic beat — A massive aoudad rams a glowing axis ribbon until it folds like origami into a sideways second axis; nested rooms bloom inside each fold wit... Depth slot MidgroundRight (parked van): a bizarre oversized ape enacting the mnemonic beat — A towering ape stamps the same chalk plot onto one patch of asphalt again and again until layered ghost plots stack like transparent pancake... Depth slot BackgroundCenter (storefront facade): a bizarre oversized aquatic leech enacting the mnemonic beat — A swarm-sized aquatic leech plasters postage-stamp charts all over a wall; the stamps snap their eyes open and force you to compare every ti... Depth slot Aerial (rooftop ledge): a bizarre oversized armadillo enacting the mnemonic beat — A huge armadillo plugs each table column into a different paint hose—color, size, position—until the street squirts matching visual properti... Depth slot ForegroundRight (street lamp post): a bizarre oversized asp enacting the mnemonic beat — A gigantic asp flashes color and size balloons that pop out of the pavement without anyone thinking; the balloons scream when a pattern appe...",
PALACE_DATAANALYST_11,STUDY_DATAANALYST,11,Visual Mapping & Perception,Claude Debussy,,5,"A realistic street-view foreground composite featuring an original fictional impressionist musician who resembles a soft-featured man with neat hair and a pale scarf — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized atlas enacting the mnemonic beat — A living atlas rips fake neighbor-links off a chart and stamps a glowing filter that lets only true table facts through; lies melt into sour... Depth slot MidgroundRight (parked van): a bizarre oversized auroch enacting the mnemonic beat — A racing auroch sorts glowing bars against a stopwatch; wrong interpretations shatter like ice when it snorts heat that erases them.... Depth slot BackgroundCenter (storefront facade): a bizarre oversized avocet enacting the mnemonic beat — A huge avocet welds glowing chains between sender-nodes and message-count towers exactly as the ledger shows; fake chains snap with a metall... Depth slot Aerial (rooftop ledge): a bizarre oversized awassi sheep enacting the mnemonic beat — A gigantic awassi sheep stamps an N-by-N window grid into the air; each window rains tiny scatter dots that tick when brushed.... Depth slot ForegroundRight (street lamp post): a bizarre oversized axolotl enacting the mnemonic beat — A microscopic axolotl squashes a high-dimension cloud through a rubber press into a flat map; close friends stay glued together like chewing...",
PALACE_DATAANALYST_12,STUDY_DATAANALYST,12,Multivariate Point & Line Techniques,Maurice Ravel,,5,"A realistic street-view foreground composite featuring an original fictional precise composer who resembles a slim man with sleek hair and a tailored suit — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized aye-aye enacting the mnemonic beat — A towering aye-aye hangs spring-cables from ring anchors to floating points; high values yank points toward their anchors until the circle h... Depth slot MidgroundRight (parked van): a bizarre oversized Aztec enacting the mnemonic beat — A colossal Aztec paints giant noodles of lines in different colors and thicknesses; each noodle tastes like its style when bitten.... Depth slot BackgroundCenter (storefront facade): a bizarre oversized bat enacting the mnemonic beat — A huge bat strings tall parallel fence-poles and weaves each data row as a zigzag neon thread that snaps across every pole.... Depth slot Aerial (rooftop ledge): a bizarre oversized Bone bird of paradise enacting the mnemonic beat — A gigantic Bone bird of paradise spins a giant clock-plot where months loop forever; seasonal spikes burst as fireworks that smell like rain... Depth slot ForegroundRight (street lamp post): a bizarre oversized Bone cat enacting the mnemonic beat — A huge Bone cat shuffles a living spreadsheet like cards, grows cells into bar towers, then zooms rows until extra details explode outward a...",
PALACE_DATAANALYST_13,STUDY_DATAANALYST,13,Multivariate Region & Hybrid Techniques,Erik Satie,,5,"A realistic street-view foreground composite featuring an original fictional quirky pianist who resembles a thin man in a bowler hat with an odd umbrella — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized Bone dragon enacting the mnemonic beat — A skyscraper-tall Bone dragon opens each grid cell like a Russian doll; inside every cell a smaller chart wakes up with its own axes squeaki... Depth slot MidgroundRight (parked van): a bizarre oversized bee enacting the mnemonic beat — A giant bee rolls colored dough bands between category axes; the bands thicken with frequency and slap together with a wet smack.... Depth slot BackgroundCenter (storefront facade): a bizarre oversized Bone frog enacting the mnemonic beat — A huge Bone frog wears a face-glyph mask whose eyes, smile, and horns twist whenever data knobs turn; the mask hisses when values spike.... Depth slot Aerial (rooftop ledge): a bizarre oversized Bone goat enacting the mnemonic beat — A towering Bone goat stitches a carpet of single glowing pixels that crawl into spiral polygons, one shape per dimension, buzzing like bees.... Depth slot ForegroundRight (street lamp post): a bizarre oversized Bone Hydra enacting the mnemonic beat — A gigantic Bone Hydra flips a structure like a Rubik cube; each twist births a new view window that rings when it fits the user's need....",
PALACE_DATAANALYST_14,STUDY_DATAANALYST,14,View Transformations,Frédéric Chopin,,5,"A realistic street-view foreground composite featuring an original fictional romantic pianist who resembles a frail young man with soft hair at a small piano — not any real, living, historical, or named public figure and not any copyrighted character. Keep the Maps background unchanged; add only surreal mnemonic foreground elements with matching light and contact shadows. Depth slot ForegroundLeft (wrought-iron gate): a bizarre oversized bison enacting the mnemonic beat — A huge bison taps one glowing pin on the map; the pin sprouts a detail-card that smells like warm paper and spills extra table facts.... Depth slot MidgroundRight (parked van): a bizarre oversized Bone jester enacting the mnemonic beat — A massive Bone jester stretches one street block like rubber so the center balloons huge while the edges stay tiny, all in one warped struct... Depth slot BackgroundCenter (storefront facade): a bizarre oversized Bone kitten enacting the mnemonic beat — A tiny-then-huge Bone kitten carries twin glass panes: one shows the whole hive map, the other zooms one corner until honeycomb letters roar... Depth slot Aerial (rooftop ledge): a bizarre oversized bloodhound enacting the mnemonic beat — A gigantic bloodhound shuffles axis ticks like piano keys; suddenly new patterns light up and the facts taste different.... Depth slot ForegroundRight (street lamp post): a bizarre oversized Bone marmoset enacting the mnemonic beat — A huge Bone marmoset slides each glowing node to the average spot between its neighbor magnets; crossings melt away with a hot hiss....",
