id,plan_id,section_path,text,checked,sort_order
PITEM_0018,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Relational Databases (SQL),Execute complex joins and window functions,0,18
PITEM_0019,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Relational Databases (SQL),Optimize query performance for analytical extraction,0,19
PITEM_0020,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Relational Databases (SQL),Integrate SQL queries directly into Python scripts,0,20
PITEM_0021,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Visual Storytelling,Visualize the cleaned datasets prepared in Month 2 using Matplotlib/Seaborn,0,21
PITEM_0022,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Visual Storytelling,Identify underlying distributions and detect outliers,0,22
PITEM_0023,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Visual Storytelling,Eliminate chart junk to highlight core data narratives,0,23
PITEM_0024,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Visual Storytelling,Build interactive dashboards for multidimensional data,0,24
PITEM_0025,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Feature Engineering,Transform raw variables into predictive signals based on EDA findings,0,25
PITEM_0026,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Feature Engineering,"Encode categorical variables (One-Hot, Target Encoding)",0,26
PITEM_0027,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Feature Engineering,"Scale numerical features (Standardization, Normalization)",0,27
PITEM_0028,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 3: Exploratory Data Analysis (EDA) and Visualization > Feature Engineering,Establish a reproducible feature pipeline,0,28
PITEM_0029,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Regression and Classification,Train predictive models on the engineered features from Month 3,0,29
PITEM_0030,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Regression and Classification,Master Linear and Logistic Regression architectures,0,30
PITEM_0031,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Regression and Classification,"Execute tree-based models (Random Forest, Gradient Boosting)",0,31
PITEM_0032,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Regression and Classification,Isolate target variables and map decision boundaries,0,32
PITEM_0033,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Model Evaluation Metrics,"Quantify model accuracy using precision, recall, and F1-score",0,33
PITEM_0034,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Model Evaluation Metrics,Plot ROC-AUC curves to measure classification thresholds,0,34
PITEM_0035,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Model Evaluation Metrics,"Evaluate regression performance (RMSE, MAE, R-squared)",0,35
PITEM_0036,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 4: Supervised Machine Learning > Model Evaluation Metrics,Prevent data leakage during cross-validation,0,36
PITEM_0037,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Clustering and Dimensionality Reduction,Apply K-Means and DBSCAN to segment unlabelled data from Month 4 pipelines,0,37
PITEM_0038,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Clustering and Dimensionality Reduction,Execute PCA (Principal Component Analysis) to reduce feature space,0,38
PITEM_0039,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Clustering and Dimensionality Reduction,Identify latent patterns in continuous data streams,0,39
PITEM_0040,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Clustering and Dimensionality Reduction,Validate cluster cohesion and separation (Silhouette Score),0,40
PITEM_0041,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Web Scraping for Custom Datasets,"Scrape e-commerce metrics (SSL presence, customer opinions) using BeautifulSoup/Selenium",0,41
PITEM_0042,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Web Scraping for Custom Datasets,Extract unstructured web data to fuel Month 5 clustering algorithms,0,42
PITEM_0043,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Web Scraping for Custom Datasets,Automate pagination and handle dynamic DOM rendering,0,43
PITEM_0044,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 5: Unsupervised Machine Learning and Web Scraping > Web Scraping for Custom Datasets,Structure scraped outputs into relational schemas,0,44
PITEM_0045,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > A/B Testing and Hypothesis Validation,Design randomized experiments to test variables like perceived trust,0,45
PITEM_0046,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > A/B Testing and Hypothesis Validation,Calculate sample size and statistical power requirements,0,46
PITEM_0047,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > A/B Testing and Hypothesis Validation,Evaluate experiment results using t-tests and p-values,0,47
PITEM_0048,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > A/B Testing and Hypothesis Validation,Distinguish correlation from causal impact,0,48
PITEM_0049,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > Advanced Feature Selection,Prune suboptimal features from Month 4 and Month 5 models,0,49
PITEM_0050,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > Advanced Feature Selection,Implement Recursive Feature Elimination (RFE),0,50
PITEM_0051,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > Advanced Feature Selection,Calculate feature importance metrics and SHAP values,0,51
PITEM_0052,PLAN_0001,Phase 2: Predictive Modeling and Advanced Algorithms (Months 4-6) > Month 6: Experimentation and Causal Inference > Advanced Feature Selection,Optimize the trade-off between model complexity and interpretability,0,52
PITEM_0053,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Deep Learning Architectures,Transition from Month 4 traditional ML to multi-layer perceptrons,0,53
PITEM_0054,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Deep Learning Architectures,Master backpropagation and gradient descent mechanics,0,54
PITEM_0055,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Deep Learning Architectures,"Implement activation functions (ReLU, Sigmoid, Softmax)",0,55
PITEM_0056,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Deep Learning Architectures,Build and train networks using PyTorch or TensorFlow,0,56
PITEM_0057,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Regularization and Optimization,Mitigate neural network overfitting using Dropout and L2 regularization,0,57
PITEM_0058,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Regularization and Optimization,"Tune hyperparameters (learning rate, batch size)",0,58
PITEM_0059,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Regularization and Optimization,Implement early stopping mechanisms,0,59
PITEM_0060,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 7: Neural Networks Foundation > Regularization and Optimization,Monitor training loss vs. validation loss epochs,0,60
PITEM_0061,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Text Processing and Embeddings,Process the unstructured customer opinion data scraped in Month 5,0,61
PITEM_0062,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Text Processing and Embeddings,"Execute tokenization, lemmatization, and stop-word removal",0,62
PITEM_0063,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Text Processing and Embeddings,Map text to dense vectors using Word2Vec or GloVe,0,63
PITEM_0064,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Text Processing and Embeddings,Transition text representations into deep learning inputs,0,64
PITEM_0065,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Sequential Modeling,Train RNNs and LSTMs on temporal/sequential data,0,65
PITEM_0066,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Sequential Modeling,Analyze sentiment polarity within text corpus,0,66
PITEM_0067,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Sequential Modeling,Implement attention mechanisms for long-context understanding,0,67
PITEM_0068,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 8: Natural Language Processing (NLP) > Sequential Modeling,Evaluate language models against baseline heuristics,0,68
PITEM_0069,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 9: Transformer Models and Generative AI Integration > Advanced NLP architectures,Upgrade from Month 8 sequential models to Transformer architectures,0,69
PITEM_0070,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 9: Transformer Models and Generative AI Integration > Advanced NLP architectures,"Fine-tune pre-trained models (BERT, RoBERTa) on domain-specific data",0,70
PITEM_0071,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 9: Transformer Models and Generative AI Integration > Advanced NLP architectures,Execute zero-shot and few-shot inference techniques,0,71
PITEM_0072,PLAN_0001,Phase 3: Deep Learning and Unstructured Data (Months 7-9) > Month 9: Transformer Models and Generative AI Integration > Advanced NLP architectures,Integrate LLM APIs into data pipelines for unstructured parsing,0,72
PITEM_0073,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > API Development,Wrap the Month 9 Transformer models into RESTful APIs using FastAPI,0,73
PITEM_0074,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > API Development,Define request schemas and response validations,0,74
PITEM_0075,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > API Development,Handle concurrent model inference requests,0,75
PITEM_0076,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > API Development,Document endpoints automatically via Swagger/OpenAPI,0,76
PITEM_0077,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > Containerization,Containerize the FastAPI application using Docker,0,77
PITEM_0078,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > Containerization,"Establish isolated, reproducible production environments",0,78
PITEM_0079,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > Containerization,Manage environment variables and secrets securely,0,79
PITEM_0080,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 10: Model Deployment and APIs > Containerization,Optimize image sizes for faster deployment cycles,0,80
PITEM_0081,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 11: MLOps and Continuous Integration > Model Tracking and CI/CD,Implement MLflow to track experiments and model registries from Month 10,0,81
PITEM_0082,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 11: MLOps and Continuous Integration > Model Tracking and CI/CD,Automate testing and deployment pipelines via GitHub Actions,0,82
PITEM_0083,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 11: MLOps and Continuous Integration > Model Tracking and CI/CD,Establish model drift detection mechanisms,0,83
PITEM_0084,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 11: MLOps and Continuous Integration > Model Tracking and CI/CD,Execute automated retraining triggers based on data degradation,0,84
PITEM_0085,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 12: Capstone Project and Portfolio Consolidation > End-to-End E-commerce Trust System,"Integrate Month 5 web scraping, Month 6 experimentation, and Month 9 NLP into a unified system",0,85
PITEM_0086,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 12: Capstone Project and Portfolio Consolidation > End-to-End E-commerce Trust System,Deploy the containerized solution to a cloud provider (AWS/GCP),0,86
PITEM_0087,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 12: Capstone Project and Portfolio Consolidation > End-to-End E-commerce Trust System,Establish a visualization dashboard mapping real-time predictions,0,87
PITEM_0088,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 12: Capstone Project and Portfolio Consolidation > End-to-End E-commerce Trust System,"Compile the repository structure, documentation, and architecture diagrams",0,88
PITEM_0089,PLAN_0001,Phase 4: MLOps and Production Systems (Months 10-12) > Month 12: Capstone Project and Portfolio Consolidation > End-to-End E-commerce Trust System,Complete clinical playback analysis of the model's predictive performance,0,89
PITEM_0090,PLAN_0001,Practice Schedule (Standard Analytical Session Architecture) > Session Structure,"Warm-up (5 min): Code review, syntax drill, or terminal navigation",0,90
PITEM_0091,PLAN_0001,Practice Schedule (Standard Analytical Session Architecture) > Session Structure,"Theoretical Block (10 min): Math foundations, algorithm mechanics, or paper reading",0,91
PITEM_0092,PLAN_0001,Practice Schedule (Standard Analytical Session Architecture) > Session Structure,"Application Block (25 min): Writing scripts, training models, or debugging pipelines",0,92
PITEM_0093,PLAN_0001,Practice Schedule (Standard Analytical Session Architecture) > Session Structure,"Review and Reflection (5 min): Metric logging, code optimization, weekly reflection",0,93
PITEM_0094,PLAN_0001,Progress Tracking > Practice Consistency,5-6 sessions per week completed,0,94
PITEM_0095,PLAN_0001,Progress Tracking > Execution Progression,Data Wrangling Pipeline - Target: < 500ms execution,0,95
PITEM_0096,PLAN_0001,Progress Tracking > Execution Progression,Supervised Training - Target: > 85% F1-Score on baseline,0,96
PITEM_0097,PLAN_0001,Progress Tracking > Execution Progression,API Response Time - Target: < 200ms latency,0,97
PITEM_0098,PLAN_0001,Progress Tracking > Accuracy Trend,Monitor Data Leakage Incidents,0,98
PITEM_0099,PLAN_0001,Progress Tracking > Accuracy Trend,Monitor Prediction Residuals,0,99
PITEM_0100,PLAN_0001,Progress Tracking > Accuracy Trend,Monitor Pipeline Crash Rates,0,100
PITEM_0101,PLAN_0001,Progress Tracking > Portfolio Readiness,EDA Notebook on E-commerce metrics,0,101
PITEM_0102,PLAN_0001,Progress Tracking > Portfolio Readiness,Classification Model API,0,102
PITEM_0103,PLAN_0001,Progress Tracking > Portfolio Readiness,End-to-End MLOps Pipeline,0,103
PITEM_0104,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),Python/SQL Engineering,0,104
PITEM_0105,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),Statistical Rigor,0,105
PITEM_0106,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),Machine Learning Accuracy,0,106
PITEM_0107,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),Deep Learning / NLP,0,107
PITEM_0108,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),MLOps & Deployment,0,108
PITEM_0109,PLAN_0001,Progress Tracking > Skill Radar (Semi-Monthly Self-Assessment),Data Storytelling,0,109
PITEM_0110,PLAN_0001,Goals (End of Year 1),Fluent script execution across local and cloud environments,0,110
PITEM_0111,PLAN_0001,Goals (End of Year 1),3-5 production-ready projects (mixed domains),0,111
PITEM_0112,PLAN_0001,Goals (End of Year 1),Solid intuition for mapping algorithms to business problems,0,112
PITEM_0113,PLAN_0001,Goals (End of Year 1),Comfortable interpreting complex feature interactions,0,113
PITEM_0114,PLAN_0001,Goals (End of Year 1),Deployed portfolio documentation (monthly snapshots),0,114
PITEM_0115,PLAN_0001,Goals (End of Year 1),Consistent 5-6 session/week analytical discipline,0,115
PITEM_0116,PLAN_0001,Goals (End of Year 1),Zero unmanaged technical debt in primary repositories,0,116
PITEM_0117,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Passive Voice,Forming passive sentences in all tenses,0,1
PITEM_0118,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Passive Voice,Impersonal passives,0,2
PITEM_0119,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Passive Voice,Causative passives,0,3
PITEM_0120,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Articles and Determiners,"Definite and Indefinite Articles (a, an, the)",0,4
PITEM_0121,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Articles and Determiners,Zero article usage,0,5
PITEM_0122,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Articles and Determiners,"Quantifiers (some, any, few, many, much, little, a lot of, etc.)",0,6
PITEM_0123,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Sentence Structure,"Simple, Compound, and Complex sentences",0,7
PITEM_0124,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Sentence Structure,Compound-complex sentences,0,8
PITEM_0125,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 1: Core Advanced Structures > Sentence Structure,"Subject-Verb Agreement (Collective nouns, Indefinite pronouns, Inverted structures)",0,9
PITEM_0126,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Modal Verbs,"Can, Could, May, Might, Must, Shall, Should, Will, Would",0,10
PITEM_0127,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Modal Verbs,"Ought to, Need (as modal)",0,11
PITEM_0128,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Modal Verbs,"Modal perfects (must have done, should have done, could have done)",0,12
PITEM_0129,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Modal Verbs,"Modal passives (can be done, should have been done)",0,13
PITEM_0130,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Modal Verbs,Expressing degrees of certainty and obligation,0,14
PITEM_0131,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,Zero Conditional (general truths),0,15
PITEM_0132,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,First Conditional (real future possibilities),0,16
PITEM_0133,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,Second Conditional (hypothetical present/future),0,17
PITEM_0134,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,Third Conditional (hypothetical past),0,18
PITEM_0135,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,"Mixed Conditionals (Past condition → present result, Present condition → past result)",0,19
PITEM_0136,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 2: Conditional & Modal Systems > Conditional Sentences,"Inverted conditionals (Had I known, Should you need, Were I you)",0,20
PITEM_0137,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Reported Speech,Direct and Indirect Speech,0,21
PITEM_0138,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Reported Speech,"Changes in tenses, pronouns, and time expressions",0,22
PITEM_0139,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Reported Speech,"Reporting verbs (suggest, insist, recommend, claim, deny, etc.)",0,23
PITEM_0140,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Reported Speech,Reporting questions and commands,0,24
PITEM_0141,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Causative Verbs / Causative Constructions,Have/get something done,0,25
PITEM_0142,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Causative Verbs / Causative Constructions,Make/let/help + infinitive,0,26
PITEM_0143,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Causative Verbs / Causative Constructions,Get someone to do something,0,27
PITEM_0144,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Verbs of Perception,See/watch/hear/feel + object + infinitive/gerund,0,28
PITEM_0145,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Verbs of Perception,"Notice, observe, perceive patterns",0,29
PITEM_0146,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Infinitive vs. Gerund,"Verb patterns (verb + infinitive, verb + gerund, verb + object + infinitive)",0,30
PITEM_0147,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Infinitive vs. Gerund,Meaning changes: remember to do vs. remember doing,0,31
PITEM_0148,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Infinitive vs. Gerund,Stop to do vs. stop doing,0,32
PITEM_0149,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Infinitive vs. Gerund,Try to do vs. try doing,0,33
PITEM_0150,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Advanced Grammar Components,"Subjunctive Mood (I suggest that he be present, If I were you, It's essential that she arrive on time)",0,34
PITEM_0151,PLAN_0002,Phase 1: Foundation Refinement (Months 1-3) > 1. Grammar Mastery > Month 3: Complex Verb Patterns > Advanced Grammar Components,"Cleft Sentences (It was John who called, What I need is more time, All I want is peace)",0,35
