id,beast_id,kind,zone,zone_label,context,quote,narrative,ipa,sensory_channel,sort_order
ATOM_0032,BEAST_ENGLISH_03_L,single,,,"A Lion wears a detective hat. He looks at the ground with a glass. He ignores the police. He tries to do the action himself. ""What he did was try to solve the crime himself."" The Lion shows the action using ""What... do.""",,"A Lion wears a detective hat. He looks at the ground with a glass. He ignores the police. He tries to do the action himself. ""What he did was try to solve the crime himself."" The Lion shows the action using ""What... do.""",,,1
ATOM_0033,BEAST_ENGLISH_04_M,single,,,It holds a red pen and reads a long sentence on a screen. It aggressively crosses out words that are not needed. It explains the definition of this technique.,Ellipsis just means you're deleting words from sentences—unnecessary words or redundant words.,It holds a red pen and reads a long sentence on a screen. It aggressively crosses out words that are not needed. It explains the definition of this technique.,,,1
ATOM_0034,BEAST_ENGLISH_04_N,single,,,"A Neanderthal stands next to the Marmoset holding two mugs. He grunts at a guest. He does not say ""Do you want a tea or do you want a coffee?"" He just holds them up to save words. He knows that too much talking is bad.","The more words you use in a sentence, the more confusing the sentence gets.","A Neanderthal stands next to the Marmoset holding two mugs. He grunts at a guest. He does not say ""Do you want a tea or do you want a coffee?"" He just holds them up to save words. He knows that too much talking is bad.",,,1
ATOM_0035,BEAST_ENGLISH_04_O,single,,,"An Owl plays a guitar on the sidewalk. A second Owl watches him. The second Owl does not pick up a guitar, but simply nods to show he can do it too. He avoids repeating the action.",She can play the guitar and he can too.,"An Owl plays a guitar on the sidewalk. A second Owl watches him. The second Owl does not pick up a guitar, but simply nods to show he can do it too. He avoids repeating the action.",,,1
ATOM_0036,BEAST_ENGLISH_04_P,single,,,A black Panther stalks a sentence written on the ground. It pounces on a repeated phrase and swaps it for a decoy word. It explains that this is a specific technique for replacing words.,"Substitution is exactly what it says it is: you're substituting words, you're replacing words in a phrase or even part of a phrase as well to avoid repeating the same words.",A black Panther stalks a sentence written on the ground. It pounces on a repeated phrase and swaps it for a decoy word. It explains that this is a specific technique for replacing words.,,,1
ATOM_0037,BEAST_ENGLISH_04_Q,single,,,"The feathered serpent Quetzalcoatl wears a mechanic's belt. He coils around a broken sentence engine. He holds a wrench labeled ""Auxiliary"" in his mouth. He adjusts the ""Tense"" gear to make sure it corresponds perfectly.",The auxiliary verb needs to correspond with the types of verbs that you're using... it also needs to correspond in tense as well.,"The feathered serpent Quetzalcoatl wears a mechanic's belt. He coils around a broken sentence engine. He holds a wrench labeled ""Auxiliary"" in his mouth. He adjusts the ""Tense"" gear to make sure it corresponds perfectly.",,,1
ATOM_0038,BEAST_ENGLISH_05_R,single,,,"A Rat looks at a calendar on the wall. Someone says ""He will come today."" The Rat shakes its head and gnaws on the sentence. It removes the prediction and leaves only the word ""it"" behind.","He might come today, but I doubt it.","A Rat looks at a calendar on the wall. Someone says ""He will come today."" The Rat shakes its head and gnaws on the sentence. It removes the prediction and leaves only the word ""it"" behind.",,,1
ATOM_0039,BEAST_ENGLISH_05_S,single,,,"A floating Skull hovers at the end of the street. It stares at a paragraph full of dead weight. It disintegrates the extra words, leaving only the bare bones of the sentence to make it sleek.",It just makes your writing much more concise and it makes it flow better as well.,"A floating Skull hovers at the end of the street. It stares at a paragraph full of dead weight. It disintegrates the extra words, leaving only the bare bones of the sentence to make it sleek.",,,1
ATOM_0040,BEAST_ENGLISH_06_T,single,,,A colorful Toucan sits on a bench. It is sweating profusely in the sun. It decides to remove its heavy feathers like a coat. It explains the result of the heat.,"It was hot, so I took off my jacket.",A colorful Toucan sits on a bench. It is sweating profusely in the sun. It decides to remove its heavy feathers like a coat. It explains the result of the heat.,,,1
ATOM_0041,BEAST_ENGLISH_06_U,single,,,"A Unicorn wearing a suit acts as an examiner. It hands a failed exam paper to a student. It explains formally that because of this result, there is no job offer.","I regret to inform you that you have failed your C1 English exam; therefore, we are unable to offer you the job.","A Unicorn wearing a suit acts as an examiner. It hands a failed exam paper to a student. It explains formally that because of this result, there is no job offer.",,,1
ATOM_0042,BEAST_ENGLISH_06_V,single,,,"A Vulture perches on a desk like a boss. It places the word ""therefore"" right before the main verb ""decided."" It makes a final decision about a candidate.",We have therefore decided not to offer you the job.,"A Vulture perches on a desk like a boss. It places the word ""therefore"" right before the main verb ""decided."" It makes a final decision about a candidate.",,,1
ATOM_0043,BEAST_ENGLISH_06_W,single,,,"A Wombat writes a letter with a quill. It gets no response, so it puts the pen down. It uses ""As"" at the start of her sentence to give the reason.","As she never replies, I'd stop writing to her.","A Wombat writes a letter with a quill. It gets no response, so it puts the pen down. It uses ""As"" at the start of her sentence to give the reason.",,,1
ATOM_0044,BEAST_ENGLISH_07_X,single,,,A participle clause is a subordinate clause used to give extra information.,,,,,1
ATOM_0045,BEAST_ENGLISH_07_Y,single,,,The subject of the participle clause and the main clause must be the same.,,,,,1
ATOM_0046,BEAST_ENGLISH_07_Z,single,,,Present Active (Simultaneous Actions) - Two things happening at the same time.,,,,,1
ATOM_0047,BEAST_ENGLISH_07_AA,single,,,Present Active (Reason) - Stating a reason before the result.,,,,,1
ATOM_0048,BEAST_ENGLISH_07_AB,single,,,"Present Active (Negative Form) - Place ""not"" before the participle.",,,,,1
ATOM_0049,BEAST_ENGLISH_08_AC,single,,,"Present Active (Consequence) - Action first, then the result.",,,,,1
ATOM_0050,BEAST_ENGLISH_08_AD,single,,,Present Active (Ambiguity) - Flip the sentence if the subject is unclear.,,,,,1
ATOM_0051,BEAST_ENGLISH_08_AE,single,,,Perfect Active (Sequence) - Action fully completed before the main clause.,,,,,1
ATOM_0052,BEAST_ENGLISH_08_AF,single,,,Past Participle (Subject Info) - Adding information about the subject.,,,,,1
ATOM_0053,BEAST_ENGLISH_08_AG,single,,,Past Participle (Condition) - Reduced conditional stating a fact.,,,,,1
ATOM_0054,BEAST_ENGLISH_09_AH,single,,,Perfect Passive (Sequence/Reason) - Passive action completed before main clause.,,,,,1
ATOM_0055,BEAST_ENGLISH_09_AI,single,,,The Dangling Participle - Subject mismatch.,,,,,1
ATOM_0056,BEAST_ENGLISH_10_AJ,single,,,Definition of Nominalization (turning words into nouns).,,,,,1
ATOM_0057,BEAST_ENGLISH_10_AK,single,,,Transforming Verbs into Nouns (Enjoy -> Enjoyment).,,,,,1
ATOM_0058,BEAST_ENGLISH_10_AL,single,,,Transforming Adjectives into Nouns (Beautiful -> Beauty).,,,,,1
ATOM_0059,BEAST_ENGLISH_10_AM,single,,,"The ""Noun of Noun"" Structure (Develop -> Development).",,,,,1
ATOM_0060,BEAST_ENGLISH_10_AN,single,,,Advanced Nominalization with Relational Verbs (Leads to).,,,,,1
ATOM_0061,BEAST_ENGLISH_11_AO,single,,,Core definitions: Prefix (before) and Suffix (after).,,,,,1
ATOM_0062,BEAST_ENGLISH_11_AP,single,,,Suffix -able indicates ability.,,,,,1
ATOM_0063,BEAST_ENGLISH_11_AQ,single,,,Suffix -ish softens time or adjectives.,,,,,1
ATOM_0064,BEAST_ENGLISH_11_AR,single,,,Prefix un- means not complete or absent.,,,,,1
ATOM_0065,BEAST_ENGLISH_11_AS,single,,,Prefix un- can also mean to reverse an action.,,,,,1
ATOM_0066,BEAST_ENGLISH_12_AT,single,,,Prefix dis- indicates the opposite or active negation.,,,,,1
ATOM_0067,BEAST_ENGLISH_12_AU,single,,,Prefix mis- refers to a mistake.,,,,,1
ATOM_0068,BEAST_ENGLISH_12_AV,single,,,"Prefixes im-, in-, ir- spelling rules.",,,,,1
ATOM_0069,BEAST_ENGLISH_12_AW,single,,,Insecure (feeling) vs. Unsecure (safety).,,,,,1
ATOM_0070,BEAST_ENGLISH_12_AX,single,,,Prefix re- means to repeat.,,,,,1
ATOM_0071,BEAST_ENGLISH_13_AY,single,,,Spoken language is built from segments: consonants (bricks) and vowels (mortar).,,,,,1
ATOM_0072,BEAST_ENGLISH_13_AZ,single,,,"Suprasegmentals are features ""beyond the segment"" that emerge only through comparison.",,,,,1
ATOM_0073,BEAST_ENGLISH_13_BA,single,,,Length is the relative duration of a sound.,,,,,1
ATOM_0074,BEAST_ENGLISH_13_BB,single,,,"Stress can alter a word's meaning, pitch, and sound properties.",,,,,1
ATOM_0075,BEAST_ENGLISH_13_BE,single,,,"Intonation is the pitch pattern at the sentence level, which can change meaning.",,,,,1
ATOM_0076,BEAST_ENGLISH_14_BF,single,,,"Linguistically, only the relative values of pitch matter, not the absolute values.",,,,,1
ATOM_0077,BEAST_ENGLISH_14_BG,single,,,The IPA chart has a dedicated section for suprasegmental symbols.,,,,,1
ATOM_0078,BEAST_ENGLISH_15_BH,single,,,Thought groups involve using short pauses to break down sentences.,,,,,1
ATOM_0079,BEAST_ENGLISH_15_BI,single,,,English is a stress-timed language with regular intervals.,,,,,1
ATOM_0080,BEAST_ENGLISH_15_BJ,single,,,Linking occurs when the end of one word blends directly into the start of the next word.,,,,,1
ATOM_0081,BEAST_ENGLISH_15_BK,single,,,Shadowing is actively repeating a text simultaneously to absorb natural rhythm.,,,,,1
ATOM_0082,BEAST_ENGLISH_16_BL,single,,,"Connected speech involves changing, losing, or adding sounds.",,,,,1
ATOM_0083,BEAST_ENGLISH_16_BM,single,,,Assimilation is when a sound changes to be more like its neighbor.,,,,,1
ATOM_0084,BEAST_ENGLISH_16_BN,single,,,Preparing for /b/ by closing lips early changes /n/ to /m/.,,,,,1
ATOM_0085,BEAST_ENGLISH_16_BO,single,,,Elision is the deletion or loss of sounds.,,,,,1
ATOM_0086,BEAST_ENGLISH_16_BP,single,,,Final 't' or 'd' sounds are the most commonly lost in English.,,,,,1
ATOM_0087,BEAST_ENGLISH_17_BQ,single,,,Intrusion is the addition of a new sound.,,,,,1
ATOM_0088,BEAST_ENGLISH_17_BR,single,,,"Only 'w', 'y', or 'r' sounds are usually added in intrusion.",,,,,1
ATOM_0089,BEAST_ENGLISH_18_BS,single,,,Syllabic L [l̩] takes over the entire syllable when the vowel is reduced.,,,,,1
ATOM_0090,BEAST_ENGLISH_18_BT,single,,,"Syllabic N [n̩] frequently occurs after alveolar consonants like /t/ or /s/, often utilizing a glottal stop.",,,,,1
ATOM_0091,BEAST_ENGLISH_18_BU,single,,,"Syllabic M [m̩] acts as its own syllable, often found in words ending in ""thm"" or ""sm"".",,,,,1
